auteur,texte,commentaires,Date
 https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifiqu," Connaissez-vous le programme Direcct (Digital Response Connecting Citizens) ? 
Il vise à renforcer les services numériques en Afrique, dans les Caraïbes et le Pacifique. Mis en oeuvre en pleine crise du Covid-19, il se déploie depuis dans 45 pays avec notre soutien et celui d’ Enabel, l’agence de coopération belge. Il cible trois secteurs essentiels : la santé, les petites et moyennes entreprises  et l’éducation.
 Avec des exemples concrets, on vous explique le succès de ce programme. 
  https://www.afd.fr/fr/actualites/numerique-programme-direcct-afrique-caraibes-pacifique
#Biopama EU International Partnerships France Diplomatie Oxfam Bibliothèques Sans Frontières Expertise France Université Virtuelle du Burkina Faso - UVBF Institut de recherche pour le développement (IRD)",,
 ordinateur.campusfaso.b," 1 étudiant 1 ordinateur / Université Virtuelle du Burkina Faso - UVBF 
Ouverture de la plateforme au profit des étudiants de l'université virtuelle
Tu es orienté à l'UV? souscrit dès maintenant sur ordinateur.campusfaso.bf
Livraison en mois d'une semaine
subventionnés par l'état à 85%
Passe l'information à ton frère ou à ton voisin ",,
#72hCSEUVBF," Chers membres, associés, partenaires et sympathisants,
Nous avons l'honneur de vous partager notre démarche d’organisation pour les activités du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE UV-BF). Avec un club fort de plus de 130 membres répartis en 4 départements, l’équité et l’égalité sont des valeurs fondamentales guidant notre fonctionnement.
Pour chaque initiative, nous privilégions l'appel à candidature interne afin de permettre à nos membres volontaires de s'impliquer activement et de se mettre au service du collectif. C’est avec votre engagement et votre soutien que nous cultivons et renforçons ensemble un leadership dynamique et inclusif.
Ensemble, nous construisons un avenir empreint de savoir, de partage, et d'impact positif !
𝙲𝚂𝙴 𝚄𝚅-𝙱𝙵 : ""𝚄𝚗𝚒𝚛 𝚕𝚎𝚜 𝚏𝚘𝚛𝚌𝚎𝚜, 𝚒𝚗𝚜𝚙𝚒𝚛𝚎𝚛 𝚕𝚎 𝚏𝚞𝚝𝚞𝚛 ! "" 
#72hCSEUVBF
#CSEUVBF
#JPET
#AUF
#UVBF",['Commentaires non disponibles'],
#AfricaDigitalEdu,"𝐄𝐱𝐜𝐞𝐥𝐥𝐞𝐧𝐜𝐞 𝐬𝐜𝐢𝐞𝐧𝐭𝐢𝐟𝐢𝐪𝐮𝐞 𝐚𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨- 𝐃𝐞𝐬 𝐣𝐞𝐮𝐧𝐞𝐬 𝐜𝐡𝐞𝐫𝐜𝐡𝐞𝐮𝐫𝐬 𝐝𝐮 𝐂𝐞𝐧𝐭𝐫𝐞 𝐝’𝐄𝐱𝐜𝐞𝐥𝐥𝐞𝐧𝐜𝐞 𝐞𝐧 𝐈𝐧𝐭𝐞𝐥𝐥𝐢𝐠𝐞𝐧𝐜𝐞 𝐀𝐫𝐭𝐢𝐟𝐢𝐜𝐢𝐞𝐥𝐥𝐞 𝐩𝐨𝐮𝐫 𝐥𝐞 𝐃𝐞́𝐯𝐞𝐥𝐨𝐩𝐩𝐞𝐦𝐞𝐧𝐭 (𝐂𝐈𝐓𝐀𝐃𝐄𝐋) 𝐚̀ 𝐥’𝐔𝐕-𝐁𝐅 𝐫𝐞𝐦𝐩𝐨𝐫𝐭𝐞𝐧𝐭 𝐥𝐞 𝟏𝐞𝐫 𝐩𝐫𝐢𝐱 𝐞𝐧 𝐡𝐚𝐜𝐤𝐚𝐭𝐡𝐨𝐧 𝐚𝐮 𝐀𝐟𝐫𝐢𝐜𝐚𝐃𝐢𝐠𝐢𝐭𝐚𝐥𝐄𝐝𝐮 𝟐𝟎𝟐𝟒 𝐚̀ 𝐀𝐛𝐢𝐝𝐣𝐚𝐧
Du 15 au 16 octobre 2024, s’est tenu le Hackathon AfricaDigitalEdu à Abidjan, dans le cadre du colloque #AfricaDigitalEdu 2024. L’objectif était de développer des solutions innovantes en lien avec le thème « Intelligence Artificielle et futurs num… En voir plus",['Commentaires non disponibles'],
#Bfquestion,"#Bfquestion
Salut à tous !
Besoin de retour d'expérience sur l'université virtuelle du Burkina Faso.
Les modalités d'inscription, les filières disponibles et le déroulement de l'année académique.
Merci",['Commentaires non disponibles'],
#Campus,"#Campus
 𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭é 𝐕𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 (𝐔𝐕-𝐁𝐅) : 𝐑é𝐬𝐮𝐥𝐭𝐚𝐭𝐬 𝐝𝐮 𝐭𝐞𝐬𝐭 𝐝𝐞 𝐫𝐞𝐜𝐫𝐮𝐭𝐞𝐦𝐞𝐧𝐭 𝐝𝐞 𝐪𝐮𝐚𝐫𝐚𝐧𝐭𝐞 (𝟒𝟎) é𝐭𝐮𝐝𝐢𝐚𝐧𝐭𝐬 𝐞𝐧 𝐩𝐫𝐞𝐦𝐢è𝐫𝐞 𝐚𝐧𝐧é𝐞 𝐝𝐞 𝐌𝐚𝐬𝐭𝐞𝐫 𝐅𝐨𝐮𝐢𝐥𝐥𝐞𝐬 𝐝𝐞 𝐃𝐨𝐧𝐧é𝐞𝐬 𝐞𝐭 𝐈𝐧𝐭𝐞𝐥𝐥𝐢𝐠𝐞𝐧𝐜𝐞 𝐀𝐫𝐭𝐢𝐟𝐢𝐜𝐢𝐞𝐥𝐥𝐞 (𝐌𝐚𝐬𝐭𝐞𝐫 𝐅𝐃 & 𝐈𝐀), 𝟐𝟎𝟐𝟒-𝟐𝟎𝟐𝟓.
Sous réserve d'un contrôle approfondi, les candidats dont les noms suivent sont déclarés admis, par ordre de mérite, à l'issue de l'instruction des dossiers de candidature pour une inscription en première année de Master Fouilles de Données et Intelligence… En voir plus",['Commentaires non disponibles'],
#Campus,"#Campus
𝐀 𝐥'𝐚𝐭𝐭𝐞𝐧𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 é𝐭𝐮𝐝𝐢𝐚𝐧𝐭𝐬 𝐝𝐞 𝐥'𝐮𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭é 𝐯𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 - 𝐔𝐧 é𝐭𝐮𝐝𝐢𝐚𝐧𝐭, 𝐮𝐧 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫.
Suite aux orientations du Projet d'Appui à l'Enseignement Supérieur (PAES), relatives au remboursement des quotités payées dans le cadre du programme présidentiel « un étudiant, un ordinateur », l'Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent dans le tableau ci-dessous qu'ils sont concernés par le remboursements des quotités.
A cet effet, l'UV-BF invite les étudiants concernés par ce remboursement et qui ont souscrit à l'opération avec des comptes mobiles money appartenant à des tierces, de bien vouloir se rendre au bureau des informaticiens sis à l'Espace Numérique Ouvert (ENO) de Karpala (Ouagadougou), munis de leur CNIB et de leur attestation d'inscription ou carte d'étudiant au plus tard le vendredi 02 Août 2024, pour communiquer le numéro de compte sur lequel ils souhaitent recevoir le remboursement de leur quotité.
Université Virtuelle du Burkina Faso, une formation universitaire de qualité pour tous !
Abonnez-vous à Oreilleducampus.",['Commentaires non disponibles'],
#Campus,"#Campus
𝐍𝐨𝐮𝐯𝐞𝐚𝐮𝐱 é𝐭𝐮𝐝𝐢𝐚𝐧𝐭𝐬 𝟐𝟎𝟐𝟒 𝐝𝐞 𝐥'𝐔𝐕-𝐁𝐅 à 𝐎𝐮𝐚𝐠𝐚𝐝𝐨𝐮𝐠𝐨𝐮 : 𝐈𝐧𝐬𝐜𝐫𝐢𝐯𝐞𝐳-𝐯𝐨𝐮𝐬 𝐚𝐮𝐱 𝐬𝐞𝐬𝐬𝐢𝐨𝐧𝐬 𝐝𝐞 𝐩𝐫𝐢𝐬𝐞 𝐞𝐧 𝐦𝐚𝐢𝐧 𝐝𝐞 𝐥'𝐨𝐮𝐭𝐢𝐥 𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐪𝐮𝐞 𝐞𝐭 𝐝𝐞 𝐥𝐚 𝐩𝐥𝐚𝐭𝐞𝐟𝐨𝐫𝐦𝐞 𝐝𝐞 𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧 
Chers nouveaux étudiants résidant à OUAGADOUGOU,
L'Université Virtuelle du Burkina Faso (UV-BF) vous invite à vous inscrire aux sessions de prise en main de l'outil info… En voir plus",,
#Campus,"#Campus
𝐑𝐞𝐦𝐢𝐬𝐞 𝐝'𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐚𝐮𝐱 é𝐭𝐮𝐝𝐢𝐚𝐧𝐭𝐬 𝐛é𝐧é𝐟𝐢𝐜𝐢𝐚𝐢𝐫𝐞𝐬 𝐝𝐞 𝐥'𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭é 𝐕𝐢𝐫𝐭𝐮𝐞𝐥𝐥𝐞 𝐝𝐮 𝐁𝐮𝐫𝐤𝐢𝐧𝐚 𝐅𝐚𝐬𝐨 
L’Université Virtuelle du Burkina Faso (UV-BF) informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, du Mardi 27 au Jeudi 29 Février 2024 afin de récupérer leurs ordinateurs de Marques HP ET LENOVO.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordinateur,
- Pour le retrait pour une tierce personne, vous devez disposer d'une procuration en bonne et due forme.
Abonnez-vous à Oreilleducampus.",['Commentaires non disponibles'],
#Campus,"#Campus
𝐔𝐕-𝐁𝐅 : 𝐑𝐞𝐧𝐭𝐫é𝐞 𝐝𝐞𝐬 𝐛𝐚𝐜𝐡𝐞𝐥𝐢𝐞𝐫𝐬 𝐧𝐨𝐮𝐯𝐞𝐥𝐥𝐞𝐦𝐞𝐧𝐭 𝐨𝐫𝐢𝐞𝐧𝐭é𝐬 𝐝𝐚𝐧𝐬 𝐥𝐞𝐬 𝐝𝐢𝐟𝐟é𝐫𝐞𝐧𝐭𝐞𝐬 𝐟𝐢𝐥𝐢è𝐫𝐞𝐬 𝐝𝐞 𝐥'𝐔𝐕-𝐁𝐅, à 𝐥'𝐢𝐬𝐬𝐮𝐞 𝐝𝐞𝐬 𝐬𝐞𝐬𝐬𝐢𝐨𝐧𝐬 𝐝'𝐨𝐫𝐢𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧 𝐚𝐮 𝐭𝐢𝐭𝐫𝐞 𝐝𝐞 𝐥'𝐚𝐧𝐧é𝐞 𝟐𝟎𝟐𝟒 : 𝟏𝐞𝐫 𝐨𝐜𝐭𝐨𝐛𝐫𝐞 𝟐𝟎𝟐𝟒
Le président de l'Université Virtuelle du Burkina Faso (UV-BF) porte a la connaissance des bacheliers, nouvellement orientés dans les différentes filières de l'UV-BF, à l'issue des sessions d'orientation au titre de l'année 2024, que la rentrée académique 2024-2025 est prévue pour le mardi 1° … En voir plus",['Commentaires non disponibles'],
